date,name,percentage
2008-12-01,AVX,0
2009-01-01,AVX,0
2009-02-01,AVX,0
2009-03-01,AVX,0
2009-04-01,AVX,0
2009-05-01,AVX,0
2009-06-01,AVX,0
2009-07-01,AVX,0
2009-08-01,AVX,0
2009-09-01,AVX,0
2009-10-01,AVX,0
2009-11-01,AVX,0
2009-12-01,AVX,0
2010-01-01,AVX,0
2010-02-01,AVX,0
2010-03-01,AVX,0
2010-04-01,AVX,0
2010-05-01,AVX,0
2010-06-01,AVX,0
2010-07-01,AVX,0
2010-08-01,AVX,0
2010-09-01,AVX,0
2010-10-01,AVX,0
2010-11-01,AVX,0
2010-12-01,AVX,0
2011-01-01,AVX,0
2011-02-01,AVX,0
2011-03-01,AVX,0
2011-04-01,AVX,0
2011-05-01,AVX,0
2011-06-01,AVX,0
2011-07-01,AVX,0
2011-08-01,AVX,0
2011-09-01,AVX,0
2011-10-01,AVX,0
2011-11-01,AVX,0
2011-12-01,AVX,0
2012-01-01,AVX,0
2012-02-01,AVX,0
2012-03-01,AVX,0
2012-04-01,AVX,0
2012-05-01,AVX,0
2012-06-01,AVX,0
2012-07-01,AVX,0
2012-08-01,AVX,0
2012-09-01,AVX,0
2012-10-01,AVX,0
2012-11-01,AVX,0
2012-12-01,AVX,0
2013-01-01,AVX,0
2013-02-01,AVX,0
2013-03-01,AVX,0
2013-04-01,AVX,0
2013-05-01,AVX,0
2013-06-01,AVX,0
2013-07-01,AVX,0
2013-08-01,AVX,0
2013-09-01,AVX,0
2013-10-01,AVX,0
2013-11-01,AVX,0
2013-12-01,AVX,0
2014-01-01,AVX,0
2014-02-01,AVX,0
2014-03-01,AVX,0
2014-04-01,AVX,0
2014-05-01,AVX,0
2014-06-01,AVX,0
2014-07-01,AVX,0
2014-08-01,AVX,0
2014-09-01,AVX,0
2014-10-01,AVX,0
2014-11-01,AVX,0
2014-12-01,AVX,0
2015-01-01,AVX,0
2015-02-01,AVX,0
2015-03-01,AVX,0
2015-04-01,AVX,0
2015-05-01,AVX,0
2015-06-01,AVX,0
2015-07-01,AVX,0
2015-08-01,AVX,0
2015-09-01,AVX,0
2015-10-01,AVX,0
2015-11-01,AVX,0
2015-12-01,AVX,0
2016-01-01,AVX,0
2016-02-01,AVX,0
2016-03-01,AVX,0
2016-04-01,AVX,0
2016-05-01,AVX,0.6802
2016-06-01,AVX,0.6928
2016-07-01,AVX,0.7013
2016-08-01,AVX,0.7121
2016-09-01,AVX,0.7202
2016-10-01,AVX,0.7256
2016-11-01,AVX,0.7342
2016-12-01,AVX,0.7379
2017-01-01,AVX,0.7389
2017-02-01,AVX,0.7424
2017-03-01,AVX,0.7570
2017-04-01,AVX,0.7652
2017-05-01,AVX,0.7621
2017-06-01,AVX,0.7847
2017-07-01,AVX,0.7786
2017-08-01,AVX,0.8181
2017-09-01,AVX,0.8273
2017-10-01,AVX,0.6796
2017-11-01,AVX,0.9146
2017-12-01,AVX,0.9128
2018-01-01,AVX,0.9224
2018-02-01,AVX,0.9141
2018-03-01,AVX,0.8987
2018-04-01,AVX,0.8608
2018-05-01,AVX,0.8593
2018-06-01,AVX,0.8595
2018-07-01,AVX,0.8507
2018-08-01,AVX,0.8670
2018-09-01,AVX,0.8687
2018-10-01,AVX,0.8613
2018-11-01,AVX,0.8717
2018-12-01,AVX,0.8700
2019-01-01,AVX,0.8681
2019-02-01,AVX,0.8799
2019-03-01,AVX,0.8804
2019-04-01,AVX,0.8842
2019-05-01,AVX,0.8883
2019-06-01,AVX,0.8856
2019-07-01,AVX,0.8841
2019-08-01,AVX,0.8929
2019-09-01,AVX,0.8914
2019-10-01,AVX,0.8947
2019-11-01,AVX,0.9067
2019-12-01,AVX,0.9118
2020-01-01,AVX,0.9068
2020-02-01,AVX,0.9087
2020-03-01,AVX,0.9240
2020-04-01,AVX,0.9225
2020-05-01,AVX,0.9233
2020-06-01,AVX,0.9258
2020-07-01,AVX,0.9283
2020-08-01,AVX,0.9332
2020-09-01,AVX,0.9367
2020-10-01,AVX,0.9306
2020-11-01,AVX,0.9389
2020-12-01,AVX,0.9493
2021-01-01,AVX,0.9431
2021-02-01,AVX,0.9459
2021-03-01,AVX,0.9462
2021-04-01,AVX,0.9477
2021-05-01,AVX,0.9476
2021-06-01,AVX,0.9459
2021-07-01,AVX,0.9420
2021-08-01,AVX,0.9470
2021-09-01,AVX,0.9459
2021-10-01,AVX,0.9427
2021-11-01,AVX,0.9446
2021-12-01,AVX,0.9466
2022-01-01,AVX,0.9438
2022-02-01,AVX,0.9462
2022-03-01,AVX,0.9501
2022-04-01,AVX,0.9481
2022-05-01,AVX,0.9531
2022-06-01,AVX,0.9483
2022-07-01,AVX,0.9581
2022-08-01,AVX,0.9489
2022-09-01,AVX,0.9527
2022-10-01,AVX,0.9543
2022-11-01,AVX,0.9517
2022-12-01,AVX,0.9514
2023-01-01,AVX,0.9502
2023-02-01,AVX,0.9546
2023-03-01,AVX,0.9725
2023-04-01,AVX,0.9561
2023-05-01,AVX,0.9560
