date,name,percentage
2008-12-01,SSE4.1,0
2009-01-01,SSE4.1,0
2009-02-01,SSE4.1,0
2009-03-01,SSE4.1,0
2009-04-01,SSE4.1,0
2009-05-01,SSE4.1,0
2009-06-01,SSE4.1,0
2009-07-01,SSE4.1,0
2009-08-01,SSE4.1,0
2009-09-01,SSE4.1,0
2009-10-01,SSE4.1,0
2009-11-01,SSE4.1,0
2009-12-01,SSE4.1,0
2010-01-01,SSE4.1,0
2010-02-01,SSE4.1,0
2010-03-01,SSE4.1,0
2010-04-01,SSE4.1,0
2010-05-01,SSE4.1,0
2010-06-01,SSE4.1,0
2010-07-01,SSE4.1,0.3489
2010-08-01,SSE4.1,0.3561
2010-09-01,SSE4.1,0.3633
2010-10-01,SSE4.1,0.3705
2010-11-01,SSE4.1,0.4085
2010-12-01,SSE4.1,0.3634
2011-01-01,SSE4.1,0.4227
2011-02-01,SSE4.1,0.4820
2011-03-01,SSE4.1,0.5413
2011-04-01,SSE4.1,0.4486
2011-05-01,SSE4.1,0.4486
2011-06-01,SSE4.1,0.4687
2011-07-01,SSE4.1,0.4687
2011-08-01,SSE4.1,0.4785
2011-09-01,SSE4.1,0.4785
2011-10-01,SSE4.1,0.3981
2011-11-01,SSE4.1,0.4085
2011-12-01,SSE4.1,0.4130
2012-01-01,SSE4.1,0.4130
2012-02-01,SSE4.1,0.5126
2012-03-01,SSE4.1,0.5200
2012-04-01,SSE4.1,0.5167
2012-05-01,SSE4.1,0.5250
2012-06-01,SSE4.1,0.5333
2012-07-01,SSE4.1,0.5442
2012-08-01,SSE4.1,0.5611
2012-09-01,SSE4.1,0.5780
2012-10-01,SSE4.1,0.5857
2012-11-01,SSE4.1,0.5857
2012-12-01,SSE4.1,0.6019
2013-01-01,SSE4.1,0.6019
2013-02-01,SSE4.1,0.6206
2013-03-01,SSE4.1,0.6332
2013-04-01,SSE4.1,0.6458
2013-05-01,SSE4.1,0.6552
2013-06-01,SSE4.1,0.6552
2013-07-01,SSE4.1,0.6648
2013-08-01,SSE4.1,0.6648
2013-09-01,SSE4.1,0.6808
2013-10-01,SSE4.1,0.6808
2013-11-01,SSE4.1,0.6968
2013-12-01,SSE4.1,0.7022
2014-01-01,SSE4.1,0.7104
2014-02-01,SSE4.1,0.7104
2014-03-01,SSE4.1,0.7246
2014-04-01,SSE4.1,0.7274
2014-05-01,SSE4.1,0.7370
2014-06-01,SSE4.1,0.7363
2014-07-01,SSE4.1,0.7453
2014-08-01,SSE4.1,0.7496
2014-09-01,SSE4.1,0.7606
2014-10-01,SSE4.1,0.7628
2014-11-01,SSE4.1,0.7676
2014-12-01,SSE4.1,0.7732
2015-01-01,SSE4.1,0.7810
2015-02-01,SSE4.1,0.7845
2015-03-01,SSE4.1,0.7902
2015-04-01,SSE4.1,0.7976
2015-05-01,SSE4.1,0.7971
2015-06-01,SSE4.1,0.8056
2015-07-01,SSE4.1,0.8122
2015-08-01,SSE4.1,0.8146
2015-09-01,SSE4.1,0.8196
2015-10-01,SSE4.1,0.8258
2015-11-01,SSE4.1,0.8312
2015-12-01,SSE4.1,0.8333
2016-01-01,SSE4.1,0.8337
2016-02-01,SSE4.1,0.8364
2016-03-01,SSE4.1,0.8462
2016-04-01,SSE4.1,0.8473
