date,name,percentage
2008-12-01,SSE4a,0
2009-01-01,SSE4a,0
2009-02-01,SSE4a,0
2009-03-01,SSE4a,0
2009-04-01,SSE4a,0
2009-05-01,SSE4a,0
2009-06-01,SSE4a,0
2009-07-01,SSE4a,0
2009-08-01,SSE4a,0
2009-09-01,SSE4a,0
2009-10-01,SSE4a,0
2009-11-01,SSE4a,0
2009-12-01,SSE4a,0
2010-01-01,SSE4a,0
2010-02-01,SSE4a,0
2010-03-01,SSE4a,0
2010-04-01,SSE4a,0
2010-05-01,SSE4a,0
2010-06-01,SSE4a,0
2010-07-01,SSE4a,0.1104
2010-08-01,SSE4a,0.1179
2010-09-01,SSE4a,0.1180
2010-10-01,SSE4a,0.1181
2010-11-01,SSE4a,0.1299
2010-12-01,SSE4a,0.1300
2011-01-01,SSE4a,0.1372
2011-02-01,SSE4a,0.1373
2011-03-01,SSE4a,0.1374
2011-04-01,SSE4a,0.1515
2011-05-01,SSE4a,0.1515
2011-06-01,SSE4a,0.1563
2011-07-01,SSE4a,0.1563
2011-08-01,SSE4a,0.1570
2011-09-01,SSE4a,0.1570
2011-10-01,SSE4a,0.1246
2011-11-01,SSE4a,0.1299
2011-12-01,SSE4a,0.1331
2012-01-01,SSE4a,0.1331
2012-02-01,SSE4a,0.1606
2012-03-01,SSE4a,0.1998
2012-04-01,SSE4a,0.1991
2012-05-01,SSE4a,0.1972
2012-06-01,SSE4a,0.1953
2012-07-01,SSE4a,0.1985
2012-08-01,SSE4a,0.1999
2012-09-01,SSE4a,0.2013
2012-10-01,SSE4a,0.2039
2012-11-01,SSE4a,0.2065
2012-12-01,SSE4a,0.2045
2013-01-01,SSE4a,0.2045
2013-02-01,SSE4a,0.2100
2013-03-01,SSE4a,0.2098
2013-04-01,SSE4a,0.2096
2013-05-01,SSE4a,0.2170
2013-06-01,SSE4a,0.2170
2013-07-01,SSE4a,0.2160
2013-08-01,SSE4a,0.2160
2013-09-01,SSE4a,0.2200
2013-10-01,SSE4a,0.2200
2013-11-01,SSE4a,0.2170
2013-12-01,SSE4a,0.2182
2014-01-01,SSE4a,0.2215
2014-02-01,SSE4a,0.2215
2014-03-01,SSE4a,0.2251
