date,name,percentage
2008-12-01,SSSE3,0
2009-01-01,SSSE3,0
2009-02-01,SSSE3,0
2009-03-01,SSSE3,0
2009-04-01,SSSE3,0
2009-05-01,SSSE3,0
2009-06-01,SSSE3,0
2009-07-01,SSSE3,0
2009-08-01,SSSE3,0
2009-09-01,SSSE3,0
2009-10-01,SSSE3,0
2009-11-01,SSSE3,0
2009-12-01,SSSE3,0
2010-01-01,SSSE3,0
2010-02-01,SSSE3,0
2010-03-01,SSSE3,0
2010-04-01,SSSE3,0
2010-05-01,SSSE3,0
2010-06-01,SSSE3,0
2010-07-01,SSSE3,0
2010-08-01,SSSE3,0
2010-09-01,SSSE3,0
2010-10-01,SSSE3,0
2010-11-01,SSSE3,0
2010-12-01,SSSE3,0
2011-01-01,SSSE3,0
2011-02-01,SSSE3,0
2011-03-01,SSSE3,0
2011-04-01,SSSE3,0
2011-05-01,SSSE3,0
2011-06-01,SSSE3,0
2011-07-01,SSSE3,0
2011-08-01,SSSE3,0
2011-09-01,SSSE3,0
2011-10-01,SSSE3,0
2011-11-01,SSSE3,0
2011-12-01,SSSE3,0
2012-01-01,SSSE3,0
2012-02-01,SSSE3,0
2012-03-01,SSSE3,0
2012-04-01,SSSE3,0
2012-05-01,SSSE3,0
2012-06-01,SSSE3,0
2012-07-01,SSSE3,0
2012-08-01,SSSE3,0
2012-09-01,SSSE3,0
2012-10-01,SSSE3,0
2012-11-01,SSSE3,0
2012-12-01,SSSE3,0
2013-01-01,SSSE3,0
2013-02-01,SSSE3,0
2013-03-01,SSSE3,0
2013-04-01,SSSE3,0
2013-05-01,SSSE3,0
2013-06-01,SSSE3,0
2013-07-01,SSSE3,0
2013-08-01,SSSE3,0
2013-09-01,SSSE3,0
2013-10-01,SSSE3,0
2013-11-01,SSSE3,0
2013-12-01,SSSE3,0
2014-01-01,SSSE3,0
2014-02-01,SSSE3,0
2014-03-01,SSSE3,0
2014-04-01,SSSE3,0
2014-05-01,SSSE3,0
2014-06-01,SSSE3,0
2014-07-01,SSSE3,0
2014-08-01,SSSE3,0
2014-09-01,SSSE3,0
2014-10-01,SSSE3,0
2014-11-01,SSSE3,0
2014-12-01,SSSE3,0
2015-01-01,SSSE3,0
2015-02-01,SSSE3,0
2015-03-01,SSSE3,0
2015-04-01,SSSE3,0
2015-05-01,SSSE3,0
2015-06-01,SSSE3,0
2015-07-01,SSSE3,0
2015-08-01,SSSE3,0
2015-09-01,SSSE3,0
2015-10-01,SSSE3,0
2015-11-01,SSSE3,0
2015-12-01,SSSE3,0
2016-01-01,SSSE3,0
2016-02-01,SSSE3,0
2016-03-01,SSSE3,0.9072
2016-04-01,SSSE3,0.9082
2016-05-01,SSSE3,0.9110
2016-06-01,SSSE3,0.9137
2016-07-01,SSSE3,0.9149
2016-08-01,SSSE3,0.9176
2016-09-01,SSSE3,0.9210
2016-10-01,SSSE3,0.9230
2016-11-01,SSSE3,0.9262
2016-12-01,SSSE3,0.9277
2017-01-01,SSSE3,0.9276
2017-02-01,SSSE3,0.9278
2017-03-01,SSSE3,0.9345
2017-04-01,SSSE3,0.9367
2017-05-01,SSSE3,0.9394
2017-06-01,SSSE3,0.9442
2017-07-01,SSSE3,0.9429
2017-08-01,SSSE3,0.9504
2017-09-01,SSSE3,0.9561
2017-10-01,SSSE3,0.9190
2017-11-01,SSSE3,0.9791
2017-12-01,SSSE3,0.9789
2018-01-01,SSSE3,0.9816
2018-02-01,SSSE3,0.9789
2018-03-01,SSSE3,0.9752
2018-04-01,SSSE3,0.9658
2018-05-01,SSSE3,0.9667
2018-06-01,SSSE3,0.9671
2018-07-01,SSSE3,0.9695
2018-08-01,SSSE3,0.9683
2018-09-01,SSSE3,0.9710
2018-10-01,SSSE3,0.9726
2018-11-01,SSSE3,0.9705
2018-12-01,SSSE3,0.9696
2019-01-01,SSSE3,0.9705
2019-02-01,SSSE3,0.9723
2019-03-01,SSSE3,0.9724
2019-04-01,SSSE3,0.9745
2019-05-01,SSSE3,0.9757
2019-06-01,SSSE3,0.9774
2019-07-01,SSSE3,0.9771
2019-08-01,SSSE3,0.9770
2019-09-01,SSSE3,0.9781
2019-10-01,SSSE3,0.9795
2019-11-01,SSSE3,0.9802
2019-12-01,SSSE3,0.9812
2020-01-01,SSSE3,0.9802
2020-02-01,SSSE3,0.9809
2020-03-01,SSSE3,0.9856
2020-04-01,SSSE3,0.9852
2020-05-01,SSSE3,0.9855
2020-06-01,SSSE3,0.9861
2020-07-01,SSSE3,0.9872
2020-08-01,SSSE3,0.9878
2020-09-01,SSSE3,0.9888
2020-10-01,SSSE3,0.9889
2020-11-01,SSSE3,0.9891
2020-12-01,SSSE3,0.9910
2021-01-01,SSSE3,0.9908
2021-02-01,SSSE3,0.9912
2021-03-01,SSSE3,0.9915
2021-04-01,SSSE3,0.9917
2021-05-01,SSSE3,0.9921
2021-06-01,SSSE3,0.9920
2021-07-01,SSSE3,0.9917
2021-08-01,SSSE3,0.9924
2021-09-01,SSSE3,0.9925
2021-10-01,SSSE3,0.9924
2021-11-01,SSSE3,0.9925
2021-12-01,SSSE3,0.9929
2022-01-01,SSSE3,0.9927
2022-02-01,SSSE3,0.9931
2022-03-01,SSSE3,0.9939
2022-04-01,SSSE3,0.9938
2022-05-01,SSSE3,0.9941
2022-06-01,SSSE3,0.9940
2022-07-01,SSSE3,0.9944
2022-08-01,SSSE3,0.9945
2022-09-01,SSSE3,0.9950
2022-10-01,SSSE3,0.9955
2022-11-01,SSSE3,0.9950
2022-12-01,SSSE3,0.9951
2023-01-01,SSSE3,0.9951
2023-02-01,SSSE3,0.9956
2023-03-01,SSSE3,0.9972
2023-04-01,SSSE3,0.9958
2023-05-01,SSSE3,0.9960
