date,name,percentage
2008-11-01,SSE2,0.9434
2009-01-01,SSE2,0.9538
2009-02-01,SSE2,0.9566
2009-03-01,SSE2,0.9611
2009-04-01,SSE2,0.9630
2009-05-01,SSE2,0.9662
2009-06-01,SSE2,0.9650
2009-07-01,SSE2,0.9130
2009-08-01,SSE2,0.9700
2009-09-01,SSE2,0.9719
2009-10-01,SSE2,0.9735
2009-11-01,SSE2,0.9780
2009-12-01,SSE2,0.9809
2010-01-01,SSE2,0.9787
2010-02-01,SSE2,0.9820
2010-03-01,SSE2,0.9828
2010-03-01,SSE3,0.9470
2010-03-01,SSE4,0.9469
2010-05-01,SSE2,0.9852
2010-05-01,SSE3,0.9554
2010-05-01,SSE4,0.9554
2010-06-01,SSE2,0.9870
2010-06-01,SSE3,0.9609
2010-06-01,SSE4,0.9609
2010-07-01,SSE2,0.9887
2010-07-01,SSE3,0.9645
2010-07-01,SSE4,0.9645
2010-07-01,SSE4.1,0.3489
2010-07-01,SSE4.2,0.1136
2010-07-01,SSE4a,0.1104
2010-08-01,SSE2,0.9875
2010-08-01,SSE3,0.9616
2010-08-01,SSE4.1,0.3561
2010-08-01,SSE4.2,0.1226
2010-08-01,SSE4a,0.1179
2010-11-01,SSE2,0.9924
2010-11-01,SSE3,0.9762
2010-11-01,SSE4.1,0.4085
2010-11-01,SSE4.2,0.1541
2010-11-01,SSE4a,0.1299
2011-01-01,SSE2,0.9933
2011-01-01,SSE3,0.9771
2011-01-01,SSE4.1,0.4227
2011-01-01,SSE4.2,0.1639
2011-01-01,SSE4a,0.1372
2011-04-01,SSE2,0.9951
2011-04-01,SSE3,0.9839
2011-04-01,SSE4.1,0.4486
2011-04-01,SSE4.2,0.1942
2011-04-01,SSE4a,0.1515
2011-06-01,SSE2,0.9967
2011-06-01,SSE3,0.9881
2011-06-01,SSE4.1,0.4687
2011-06-01,SSE4.2,0.2105
2011-06-01,SSE4a,0.1563
2011-08-01,SSE2,0.9968
2011-08-01,SSE3,0.9877
2011-08-01,SSE4.1,0.4785
2011-08-01,SSE4.2,0.2222
2011-08-01,SSE4a,0.1570
2011-10-01,SSE2,0.9913
2011-10-01,SSE3,0.9729
2011-10-01,SSE4.1,0.3981
2011-10-01,SSE4.2,0.1465
2011-10-01,SSE4a,0.1246
2011-11-01,SSE2,0.9924
2011-11-01,SSE3,0.9762
2011-11-01,SSE4.1,0.4085
2011-11-01,SSE4.2,0.1541
2011-11-01,SSE4a,0.1299
2011-12-01,SSE2,0.9928
2011-12-01,SSE3,0.9756
2011-12-01,SSE4.1,0.4130
2011-12-01,SSE4.2,0.1581
2011-12-01,SSE4a,0.1331
2012-02-01,SSE2,0.9976
2012-02-01,SSE3,0.9905
2012-02-01,SSE4.1,0.5126
2012-02-01,SSE4.2,0.2564
2012-02-01,SSE4a,0.1606
2012-03-01,SSE2,0.9968
2012-03-01,SSE3,0.9888
2012-03-01,SSE4.1,0.5200
2012-03-01,SSE4.2,0.3700
2012-03-01,SSE4a,0.1998
2012-04-01,SSE2,0.9964
2012-04-01,SSE3,0.9877
2012-04-01,SSE4.1,0.5167
2012-04-01,SSE4.2,0.3735
2012-04-01,SSE4a,0.1991
2012-05-01,SSE2,0.9967
2012-05-01,SSE3,0.9885
2012-05-01,SSE4.1,0.5250
2012-05-01,SSE4.2,0.3845
2012-05-01,SSE4a,0.1972
2012-07-01,SSE2,0.9972
2012-07-01,SSE3,0.9899
2012-07-01,SSE4.1,0.5442
2012-07-01,SSE4.2,0.4066
2012-07-01,SSE4a,0.1985
2012-08-01,SSE2,0.9975
2012-08-01,SSE3,0.9911
2012-08-01,SSE4.1,0.5611
